target,SDR,SIR,SAR,ISR
bass,2.8011799999999996,7.780405,1.3519899999999998,3.9383150000000002
drums,3.211905,4.56269,1.91534,7.2919475
other,1.71275,-0.8768575,3.2183900000000003,3.6729475000000003
vocals,2.3044175,3.5561825000000002,1.726725,6.027844999999999
